Date,PRCP,Snow,Tmax,Tmin,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Opponent,Win,Lost,Attendance,GameBehind
12/25/2017,0.44,2.9,38,23,75,3.4,3.8,99,99,99,999,1021,23.6,25.3,999,99,99,2017,Tue,WashingtonWashington,27,10,18624,-17
12/5/2012,0,0,57,33,103,7.4,8.3,99,99,99,999,1019,23.7,25.4,999,99,99,2012,Wed,Minnesota,10,8,18624,-2
12/26/2014,0,0,50,37,90,6,6.7,99,99,99,999,1020,23.7,25.1,999,99,99,2014,Wed,Brooklyn,10,17,18624,7
3/11/2016,0.09,0,50,41,130,9,10,99,99,99,999,1022,23.7,23.3,999,99,99,2016,Sun,Houston,39,27,18624,-12
1/6/2017,0.06,1.1,31,24,318,3,51,99,99,99,999,1015,23.7,24.8,999,99,99,2017,Sat,Philadelphia,22,14,18624,-8
2/5/2017,0,0,44,26,93,4,4.6,99,99,99,999,1021,23.7,23.9,999,99,99,2017,Mon,LA,33,18,18624,-15
3/26/2017,0,0,41,30,101,7.8,8.8,99,99,99,999,1019,23.7,24.8,999,99,99,2017,Mon,Miami,48,26,18624,-22
1/30/2013,0.06,0,60,33,139,8.3,9.3,99,99,99,999,1019,23.8,25,999,99,99,2013,Tue,Sacramento,22,23,18624,1
2/3/2017,0,0,33,25,69,3.6,60.9,99,99,99,999,2817,23.8,414.1,999,99,99,2017,Sat,Los Angeles,32,18,18624,-14
11/16/2017,0.19,0,50,38,68,8.4,13.2,99,99,99,999,1013,23.8,26.1,999,99,99,2017,Fri,Golden StateGolden State,14,2,18624,-12
12/28/2017,0,0,12,5,37,5.3,6.1,99,99,99,999,1022,23.8,25.5,999,99,99,2017,Fri,HoustonHouston,29,10,18624,-19
12/19/2012,0,0,45,38,146,4.5,5.1,99,99,99,999,1017,23.9,26,999,99,99,2012,Wed,Cleveland,13,12,18624,-1
1/2/2013,0,0,30,12,142,3.8,4.3,99,99,99,999,1018,23.9,24.5,999,99,99,2013,Tue,Memphis,14,17,18624,3
4/8/2016,0,0,53,37,223,4.9,10.2,99,99,99,999,1016,23.9,74.1,999,99,99,2016,Sun,Milwaukee,47,32,18624,-15
1/14/2013,0,0,61,42,116,7.1,7.9,99,99,99,999,1020,24,25,999,99,99,2013,Sun,Charlotte,20,17,18624,-3
12/13/2013,0,0,30,16,62,11,12.2,99,99,99,999,1020,24,25.9,999,99,99,2013,Thu,New York,11,14,17479,3
3/4/2016,0.01,0.5,31,26,248,5,9.3,99,99,99,999,1016,24,23.7,999,99,99,2016,Sun,New York,38,25,18624,-13
4/10/2017,0,0,76,44,90,8.2,9.3,99,99,99,999,1020,24,25.1,999,99,99,2017,Tue,Brooklyn,52,29,18624,-23
11/1/2017,0,0,53,41,49,5.7,10.6,99,99,99,999,1018,24,27.3,999,99,99,2017,Thu,SacramentoSacramento,6,2,18624,-4
4/3/2013,0,0,47,31,125,5,5.4,99,99,99,999,1017,24.1,23.6,999,99,99,2013,Tue,Detroit,39,36,18624,-3
1/16/2013,0.37,3.2,36,30,113,6,6.6,99,99,99,999,1018,24.2,24.9,999,99,99,2013,Tue,New Orleans,20,18,18624,-2
1/29/2014,0.01,0,27,15,176,2.7,3.1,99,99,99,999,1017,24.2,23.7,999,99,99,2014,Mon,Philadelphia,15,33,18624,18
3/4/2015,0.02,0,43,33,113,7.6,8.3,99,99,99,999,1020,24.2,24.2,999,99,99,2015,Sun,Utah,24,35,16354,11
3/16/2015,0,0,45,26,173,2.7,3,99,99,99,999,1020,24.2,24.9,999,99,99,2015,Fri,Philadelphia,30,36,18624,6
4/3/2015,0.03,0,59,45,105,7.4,8.2,99,99,99,999,1020,24.2,25.2,999,99,99,2015,Tue,Milwaukee,34,42,18624,8
3/16/2016,0.03,0,48,41,147,3.5,4,99,99,99,999,1018,24.2,25.6,999,99,99,2016,Fri,Oklahoma City,39,29,18624,-10
4/6/2016,0,0,42,25,79,7.3,12.6,99,99,99,999,1836,24.2,69.8,999,99,99,2016,Fri,New Orleans,46,32,18624,-14
1/4/2013,0,0,38,21,97,2.8,3.5,99,99,99,999,1021,24.3,24.4,999,99,99,2013,Thu,Indiana,15,17,18624,2
2/13/2013,0,0,42,30,166,6.3,7,99,99,99,999,1016,24.3,24.1,999,99,99,2013,Tue,Chicago,28,24,18624,-4
11/27/2013,1.79,0,62,39,259,7.5,8.4,99,99,99,999,1013,24.3,26.8,999,99,99,2013,Tue,Memphis,6,11,17319,5
3/5/2014,0,0.1,29,20,129,4.5,5,99,99,99,999,1016,24.3,25.2,999,99,99,2014,Mon,Golden State,20,41,18155,21
4/4/2014,0.26,0,44,37,131,6.3,6.9,99,99,99,999,1017,24.3,25.3,999,99,99,2014,Wed,Philadelphia,23,53,18624,30
3/1/2015,0.17,1.9,30,12,80,7.9,8.7,99,99,99,999,1024,24.3,24.7,999,99,99,2015,Thu,Golden State,23,34,18624,11
11/27/2017,0,0,47,27,61,6.3,7.1,99,99,99,999,1016,24.3,26.1,999,99,99,2017,Tue,DetroitDetroit,18,4,18624,-14
1/13/2014,0,0,51,31,108,6,6.7,99,99,99,999,1020,24.4,25.2,999,99,99,2014,Sat,Houston,13,26,17750,13
2/12/2014,0,0,23,8,136,4.7,5.4,99,99,99,999,1015,24.4,25.7,999,99,99,2014,Mon,San Antonio,19,35,17922,16
11/14/2014,0.23,0,44,33,77,3.4,3.8,99,99,99,999,1016,24.4,25.8,999,99,99,2014,Wed,Cleveland,3,5,18624,2
12/9/2015,0,0,46,37,87,4.7,5.2,99,99,99,999,1014,24.4,25.6,999,99,99,2015,Sun,Chicago,13,9,17318,-4
1/27/2017,0,0,44,36,296,2.1,2.5,99,99,99,999,1017,24.4,24.1,999,99,99,2017,Sat,Orlando,28,18,18624,-10
12/20/2017,0,0,47,31,117,3.5,4.1,99,99,99,999,1020,24.4,25.2,999,99,99,2017,Thu,MiamiMiami,26,7,18624,-19
11/14/2012,0,0,45,36,54,6.4,7.2,99,99,99,999,1018,24.5,26,999,99,99,2012,Wed,Utah,5,3,18624,-2
3/12/2014,0.43,0,46,37,211,7.2,7.9,99,99,99,999,1012,24.5,24.5,999,99,99,2014,Mon,New York,22,43,18624,21
3/25/2015,0.04,0,49,28,175,1.8,2.1,99,99,99,999,1018,24.5,25.7,999,99,99,2015,Sun,Miami,31,40,17366,9
11/11/2016,0,0,60,38,58,4.1,12.9,99,99,99,999,1018,24.5,111.8,999,99,99,2016,Sun,New York,4,4,18624,0
11/18/2016,0,0,63,43,76,8.3,9.5,99,99,99,999,1019,24.5,26.4,999,99,99,2016,Sun,Golden State,6,6,18624,0
12/16/2016,0,0,21,4,77,7.2,14.4,99,99,99,999,1662,24.5,95.3,999,99,99,2016,Sun,Charlotte,14,12,18624,-2
3/12/2017,0,0,27,9,131,2.8,8,99,99,99,999,1467,24.5,73.9,999,99,99,2017,Mon,Chicago,42,25,18624,-17
3/29/2017,0.06,0,47,37,134,2.8,8.5,99,99,99,999,1017,24.5,79.8,999,99,99,2017,Thu,Milwaukee,48,27,18624,-21
12/23/2017,0.58,0,43,25,93,4.6,5.3,99,99,99,999,1022,24.5,25.4,999,99,99,2017,Sun,ChicagoChicago,27,9,18624,-18
12/3/2014,0.44,0,51,37,74,8.8,9.6,99,99,99,999,1018,24.6,24.3,999,99,99,2014,Mon,Detroit,5,11,15870,6
11/25/2015,0,0,44,30,76,12.5,14.3,99,99,99,999,1020,24.6,26.4,999,99,99,2015,Sun,Philadelphia,8,7,17588,-1
2/27/2017,0,0,55,30,115,8.5,9.3,99,99,99,999,1022,24.6,24.1,999,99,99,2017,Tue,Atlanta,38,22,18624,-16
1/11/2013,0.12,0,40,31,107,9.5,10.6,99,99,99,999,1023,24.7,25,999,99,99,2013,Thu,Houston,19,17,18624,-2
11/13/2013,0,0,38,26,56,9.1,10.2,99,99,99,999,1017,24.7,26.7,999,99,99,2013,Tue,Charlotte,4,5,17032,1
2/2/2014,0.02,0,55,31,122,6,6.7,99,99,99,999,1019,24.7,24.3,999,99,99,2014,Fri,Orlando,16,33,18624,17
12/31/2014,0,0,30,20,92,3.6,4.1,99,99,99,999,1021,24.7,25.5,999,99,99,2014,Mon,Sacramento,11,18,18624,7
3/13/2015,0,0,40,24,104,8.3,9.2,99,99,99,999,1020,24.7,24.9,999,99,99,2015,Tue,Orlando,28,36,18624,8
3/22/2015,0,0,39,21,203,2.5,2.8,99,99,99,999,1017,24.7,25.9,999,99,99,2015,Thu,Detroit,30,39,18624,9
1/27/2016,0,0,45,31,160,11.1,12.4,99,99,99,999,1016,24.7,24.1,999,99,99,2016,Sat,Denver,26,21,18108,-5
2/3/2016,0.33,0,57,35,127,9.7,10.7,99,99,99,999,1018,24.7,24.9,999,99,99,2016,Sat,Detroit,29,22,17297,-7
12/4/2017,0,0,43,33,72,6.5,7.5,99,99,99,999,1019,24.7,25.8,999,99,99,2017,Tue,MilwaukeeMilwaukee,21,4,18624,-17
